day_succ,Status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0086328842,-0.2148441626,-0.1395419887,2.8418229109,-0.6087247018,-0.0632170388,-1.1970258675,1,-0.3354618116,-0.1520576385,1,-0.2044518859,-0.219981494,-0.2572658087,-0.672638512,0.060536464,-0.3669146489,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1725177892,0,-0.324428611,-0.1735167101,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0046824602,0.0061050588,-0.0557844052,-1.2340157164,-0.6087247018,-0.061340608,-0.1786105903,0,0,0.7144907382,0,-0.2044518859,-0.219981494,-0.2572658087,-0.672638512,-0.418554569,0.7967235369,0.1561768582,0.0078710587,-0.5154235036,0.0794746134,0.1394980518,0.0908413745,0.4703162747,-0.3134528488,-0.179145146,-0.2650492466,-0.3195931345,-0.1725177892,-0.2808881387,-0.324428611,-0.1735167101,-0.2587522448
11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0347715231,-0.1895928231,-0.1372476096,-1.7310692076,-0.6087247018,-0.0632170388,-0.8575541085,0,0,-0.1171288316,1,-0.2044518859,-0.219981494,-0.2572658087,-0.4778335787,-0.7310799024,-0.6758451408,-0.3321085911,0,-0.5154235036,0,0,0,0,0.1453877353,-0.1723029175,0,0.0961557009,-0.1675005349,0,0.0344102971,-0.169264884,0
32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0270681963,0.1639259312,-0.0490414799,0.3565554552,1.1961713225,0.0268516383,-0.3483464699,1,-0.2869927167,-0.1241930847,1,-0.2044518859,-0.0530159276,-0.2572658087,2.0546305542,1.0427589403,1.0747609795,0.1561768582,0.1516480055,-0.5154235036,0.0794746134,0.2275198922,0.0187318238,0.8359359516,0.0798390804,0.1834929657,-0.2650492466,0.0583603522,0.1435692328,-0.2808881387,0.0344102971,0.1283629421,-0.2587522448
28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0244345803,-0.023880907,-0.0337583659,-0.1404980359,-0.0672558945,-0.0594641772,1.5187482051,1,0.1589229563,-0.0194066641,1,-0.2044518859,-0.1643263052,-0.2572658087,-0.672638512,-0.7224940416,-0.4492961134,-0.3321085911,-0.3515713081,2.1658445239,0.0794746134,-0.3006111502,-0.3418159298,-0.2609230789,-0.1987427028,-0.1107228608,-0.2650492466,-0.2062070885,-0.1173279917,-0.2808881387,-0.1939417353,-0.0969838405,-0.2587522448
29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0310186203,-0.1990620754,-0.1365338028,-0.2399087342,-0.6087247018,-0.0575877465,-0.1786105903,1,-0.0100264602,-0.107317369,1,-0.2044518859,-0.219981494,-0.2572658087,0.0091787545,-0.1472413675,-0.4389984304,-0.3321085911,-0.3515713081,-0.5154235036,0.7764858497,-0.3006111502,-0.3418159298,-0.2609230789,-0.2806785214,-0.1312495463,0.1567217313,-0.2817977859,-0.1373970089,-0.2808881387,-0.2265634543,-0.1309984492,-0.2587522448
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0323354283,-0.1596068573,-0.1102759087,-0.2399087342,-0.6087247018,-0.0632170388,0.1608611688,1,-0.2468326095,-0.1249780017,1,-0.2044518859,-0.1643263052,-0.2572658087,-0.4778335787,-0.6211808841,0.0449926735,-0.3321085911,0,-0.5154235036,0,0,0,0,0.0306775892,-0.1380917749,0,-0.0298287947,-0.1373970089,0,0.208392798,-0.1352502753,0
29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0340472787,-0.206953119,-0.1313841964,-0.2399087342,0.1132337079,-0.0482055926,-0.3483464699,1,-0.2703747413,-0.152450097,1,-0.2044518859,0.1696048275,-0.2572658087,-0.2830286454,-0.066534276,-0.0476864741,-0.3321085911,0,2.1658445239,0,0,0,0,-0.2315170302,-0.1586184604,0,-0.2566008867,-0.1624832805,0,-0.2700590795,-0.1650130579,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0250929843,-0.0806964211,-0.11817877,-0.1404980359,0.1132337079,-0.0557113157,-0.1786105903,1,0.3791111303,-0.103392784,1,-0.2044518859,-0.1086711164,-0.2572658087,0.3013861545,0.2271021636,-0.037388791,-0.3321085911,0.7986442658,2.1658445239,0.0794746134,0.9316946154,0.8119368817,0.8359359516,-0.2642913577,-0.0765117182,0.5784927093,-0.2188055381,-0.0571209399,0.2223906386,-0.2265634543,-0.0544655796,0.5803953381
56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0308713559,-0.2164223714,-0.1399116387,2.444180118,-0.6087247018,-0.0632170388,-1.1970258675,1,-0.5182595409,-0.1559822235,1,0.9754996204,0.2252600163,-0.2572658087,-0.672638512,-0.7671405178,-0.212449403,0.1561768582,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1775350435,0,-0.324428611,-0.1777685362,0
