day_succ,Status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0316770243,-0.115417013,-0.1032398128,-0.0410873377,-0.6087247018,-0.0594641772,0.1608611688,1,0.0578302727,-0.0967209894,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.8255243713,-0.7273335561,-0.3321085911,-0.135905888,-0.5154235036,0.0794746134,-0.036545629,-0.1254872776,0.2875064363,0.3092593725,-0.035458347,0.5784927093,0.1591479487,-0.0671554485,-0.2808881387,0.1105276413,-0.0842283623,-0.2587522448
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0045351958,-0.1943274492,-0.1170953132,-0.0410873377,-0.247745497,-0.0632170388,0.3305970483,0,0,-0.0409918819,1,-0.2044518859,0,-0.2572658087,-0.3804311121,1.1097286546,1.157142444,-0.3321085911,-0.2796828347,-0.5154235036,0.0794746134,-0.2125893098,-0.2697063791,-0.0781132405,-0.2806785214,-0.1517762319,-0.2650492466,-0.2943962354,-0.1524487719,-0.2808881387,-0.2918068921,-0.1480057536,-0.2587522448
26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0290434083,-0.1706543184,-0.0783585462,1.6488945321,-0.0672558945,-0.0632170388,-0.5180823494,1,-0.0474169048,-0.0947586969,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.4425949793,-1.0877524632,-0.3321085911,-0.2796828347,-0.5154235036,0.0794746134,-0.2125893098,-0.2697063791,-0.0781132405,0.047064753,-0.1586184604,-0.2650492466,0.007966554,-0.1574660262,-0.2808881387,-0.041707047,-0.1607612318,-0.2587522448
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0343106403,-0.2148441626,-0.1399243852,-0.1404980359,-0.6087247018,-0.0632170388,-0.3483464699,1,0.7322431073,-0.1512727215,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.8426960929,-0.5728683101,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.2315170302,-0.1723029175,0,-0.2566008867,-0.1725177892,0,-0.2700590795,-0.1735167101,0
29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0259489095,-0.1722325271,-0.0869624678,-0.2399087342,-0.6087247018,-0.0632170388,-0.3483464699,1,0.3472600108,-0.0829849418,1,0.1888652828,-0.1086711164,-0.2572658087,-0.672638512,-0.6057263346,-0.6243567254,-0.3321085911,-0.2796828347,-0.5154235036,0.0794746134,-0.2125893098,-0.2697063791,-0.0781132405,-0.247904194,-0.1449340034,-0.2650492466,-0.2691993363,-0.1524487719,0.2223906386,-0.1286982975,-0.1522575797,-0.2587522448
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0308713559,-0.1343555177,0.2111283629,-0.1404980359,-0.4282350994,-0.061340608,1.3490123255,0,0,-0.1394989663,1,-0.2044518859,0,-0.2572658087,0.0091787545,0.0055869548,-0.6140590424,-0.3321085911,0.5110903723,-0.5154235036,0.0794746134,0.1394980518,0.1629509253,0.1046965979,-0.2970656851,-0.1449340034,1.0002636872,-0.306994685,-0.1424142633,0.725669416,-0.3026807984,-0.1352502753,0.5803953381
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0343106403,-0.1911710318,-0.1285162225,-1.1346050182,-0.247745497,-0.0632170388,-0.0088747108,1,-0.259296091,-0.1167363731,1,-0.2044518859,0,-0.2572658087,-0.3804311121,-0.6469384665,-0.2227470861,-0.3321085911,0,-0.5154235036,0,0,0,0,0.8172614477,-0.1380917749,0,0.8394642249,-0.1323797546,0,0.6759707692,-0.1395021014,0
28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0264097923,-0.0601797076,-0.0552235569,-0.3393194324,1.0156817201,-0.0519584541,0.1608611688,1,-0.3686977624,-0.0951511554,1,-0.2044518859,0,-0.2572658087,0.2039836878,1.2934660759,2.7944740506,-0.3321085911,-0.2077943614,-0.5154235036,0.7764858497,-0.036545629,-0.1254872776,0.2875064363,-0.1987427028,-0.1175650893,-0.2650492466,-0.1684117398,-0.0922417201,-0.2808881387,-0.183067829,-0.0927320144,-0.2587522448
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0297018123,-0.1627632747,-0.1208045594,-2.2281226987,-0.247745497,-0.0632170388,-0.1786105903,1,2.1530800033,0.1658337497,1,-0.2044518859,0,-0.2572658087,-0.0882237121,-0.2193625983,-0.2330447692,-0.3321085911,1.0143096859,-0.5154235036,2.1705083222,1.1077382962,1.749361041,0.1046965979,-0.1331940479,-0.1449340034,-0.2650492466,-0.1432148407,-0.122345246,1.7322269706,-0.1178243912,-0.1139911449,0.5803953381
27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.0283850043,0.021887146,-0.0722911881,-0.1404980359,1.5571505274,-0.0256884233,0.8398046869,0,0,-0.0841623173,1,-0.2044518859,0,2.0250142979,2.2494354875,1.199021607,0.817318903,1.1327477567,0.1516480055,-0.5154235036,0.0794746134,0.3155417326,0.1629509253,0.6531261132,-0.0184839019,-0.02177389,0.1567217313,-0.0172303451,-0.0320346683,-0.2808881387,0.0235363908,-0.0289546231,-0.2587522448
