day_succ,Status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0303602163,-0.161185066,-0.0171751036,-2.6257654916,-0.6087247018,-0.0632170388,-1.1970258675,0,0,-0.1559822235,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.9165344958,-0.7582266052,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.1659683754,-0.165460689,0,0.7386766284,-0.1123107374,0,1.6654962431,-0.071472884,0
2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0343106403,-0.1864364056,-0.1329137824,-2.1287120005,-0.6087247018,-0.0594641772,-0.8575541085,1,1.9924395745,-0.154804848,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.8392617486,0.2921370669,-0.3321085911,-0.3515713081,-0.5154235036,0.0794746134,-0.3006111502,-0.3418159298,-0.2609230789,0.9483587574,-0.0901961752,0.1567217313,1.0032440691,-0.0922417201,-0.2808881387,0.8173315512,-0.1054874927,-0.2587522448
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0342777201,-0.2148441626,-0.1394145232,-0.1404980359,-0.6087247018,-0.0632170388,-0.5180823494,1,2.11707439,-0.150880263,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.7087566643,-0.7994173375,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.1004197205,-0.165460689,0,-0.1558132903,-0.1675005349,0,-0.183067829,-0.169264884,0
28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0283850043,-0.1122605956,-0.0757964895,-0.1404980359,-0.0672558945,-0.0632170388,-0.5180823494,1,-0.2177511525,-0.0778829812,0,-0.2044518859,0.3365703939,-0.2572658087,0.1065812212,1.667809607,0.0346949904,-0.3321085911,-0.3515713081,1.8172796803,0.0794746134,-0.3006111502,-0.3418159298,-0.2609230789,-0.0184839019,-0.1312495463,-0.2650492466,-0.0676241434,-0.1323797546,-0.2808881387,-0.0090853281,-0.1309984492,-0.2587522448
30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0262454093,-0.2085313278,-0.135819996,-0.1404980359,0.2937233103,-0.0632170388,-0.6878182289,0,0,-0.1151665391,1,-0.2044518859,-0.1643263052,-0.2572658087,0.1065812212,0.3335668376,0.8379142691,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.1723029175,0,-0.3195931345,-0.1725177892,0,-0.324428611,-0.1735167101,0
45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0250929843,-0.1722325271,-0.1200270198,1.3506624375,-0.4282350994,-0.061340608,-0.6878182289,1,-0.0127961227,-0.0876944438,1,-0.2044518859,0,-0.2572658087,-0.2830286454,0.4125567571,-0.2330447692,-0.3321085911,0.0078710587,-0.5154235036,0.0794746134,0.1394980518,0.0187318238,0.1046965979,-0.1659683754,-0.0970384037,0.5784927093,-0.1936086389,-0.1022762287,0.2223906386,-0.2048156416,-0.1054874927,0.5803953381
26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0086328842,0.1812862272,0.1151723306,-0.3393194324,1.0156817201,-0.061340608,0.1608611688,1,0.4926672954,0.0669342067,1,-0.2044518859,0,-0.2572658087,-0.0882237121,0.3284153212,-0.7582266052,0.6444623074,0.5110903723,-0.5154235036,1.4734970859,0.5796072538,0.3792795774,0.6531261132,0.0142904255,-0.0628272611,-0.2650492466,-0.0046318956,-0.0069483967,-0.2808881387,0.1105276413,0.1028519856,-0.2587522448
30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0218009643,-0.1201516392,-0.0121912024,-0.1404980359,-0.6087247018,-0.061340608,-0.1786105903,1,0.3320268667,-0.0170519131,1,0.1888652828,0.0026392611,-0.2572658087,-0.672638512,-0.4614838731,-0.7067381899,-0.3321085911,-0.2077943614,1.495527517,0.0794746134,-0.1245674694,-0.1975968283,0.1046965979,-0.2970656851,-0.1517762319,-0.2650492466,-0.2440024372,-0.1323797546,0.2223906386,-0.1504461101,-0.1267466231,0.5803953381
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.0191673483,0.5821512432,0.0730194879,-0.1404980359,0.6547025152,-0.0125534079,6.2713528322,1,1.6171502969,0.1430711565,1,-0.2044518859,1.3383637922,-0.2572658087,0.2039836878,0.7044760245,-0.3051285506,-0.3321085911,5.3276180879,1.8440923606,3.5645307947,6.565092401,6.0759340841,0.4703162747,0.1290005716,0.436655421,7.3268283564,0.0709588018,0.3442594055,2.7387845253,0.0344102971,0.2899323335,1.419542921
9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0310186203,-0.1848581969,-0.099122677,-0.1404980359,-0.4282350994,-0.061340608,0.6700688074,1,-0.2634505849,-0.1155589976,1,-0.2044518859,0.0582944499,-0.2572658087,0.3987886211,0.2253849915,-0.0888772063,-0.3321085911,-0.3515713081,2.1658445239,0.0794746134,-0.3006111502,-0.3418159298,-0.2609230789,0.1290005716,-0.165460689,-0.2650492466,0.0331634531,-0.1574660262,-0.2808881387,0.2518884232,-0.1437539275,-0.2587522448
21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0218009643,-0.2053749103,-0.1317028601,-1.03519432,-0.6087247018,-0.0632170388,-0.0088747108,1,2.0589114761,-0.1308648793,1,0.1888652828,-0.219981494,-0.2572658087,-0.672638512,-0.2176454262,-0.3257239167,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.2970656851,-0.165460689,0,-0.306994685,-0.1624832805,0,-0.3135547047,-0.1650130579,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.0297018123,0.6373885486,0.0425679787,-0.1404980359,-0.4282350994,-0.0406998695,0.3305970483,1,-0.3853157377,-0.0876944438,1,0.1888652828,0.5591911491,-0.2572658087,-0.0882237121,0.2562940904,-0.6964405069,-0.3321085911,4.968175721,1.7368416395,0.7764858497,5.5088303162,6.1480436348,1.2015556284,1.0794560672,0.4913932492,6.4832864005,1.4315913541,0.6904499534,6.765014744,1.3392790539,0.6555893771,3.9369856698
22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0283850043,-0.0901656734,-0.074024719,-0.7369622253,1.0156817201,-0.0632170388,-0.1786105903,1,-0.3299224864,-0.0276482927,1,-0.2044518859,-0.0530159276,-0.2572658087,-0.672638512,0.2133647864,-0.3257239167,1.6210332059,-0.2796828347,-0.5154235036,0.0794746134,-0.1245674694,-0.1975968283,-0.2609230789,-0.2315170302,-0.1312495463,-0.2650492466,-0.2440024372,-0.1373970089,-0.2808881387,-0.2483112669,-0.1309984492,-0.2587522448
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.0086328842,0.3406853084,0.378758249,-0.1404980359,0.1132337079,-0.020059131,0.6700688074,1,-0.4227061824,-0.0845547758,1,0.1888652828,-0.1086711164,-0.2572658087,-0.3804311121,-0.035625177,-0.3875100151,0.1561768582,-0.2796828347,-0.5154235036,0.0794746134,-0.2125893098,-0.2697063791,-0.0781132405,0.5059053371,0.3545486787,0.1567217313,0.7386766284,0.4897597807,-0.2808881387,0.6542229566,0.4515017248,-0.2587522448
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0191673483,-0.1580286486,-0.1191220148,-0.1404980359,0.1132337079,-0.0575877465,0.1608611688,0,0,-0.0833774003,1,-0.2044518859,0,-0.2572658087,-0.3804311121,-0.4443121515,0.3127324331,-0.3321085911,0.0797595321,-0.5154235036,0.0794746134,0.2275198922,0.235060476,-0.0781132405,-0.2315170302,-0.1244073178,0.5784927093,-0.2440024372,-0.1323797546,0.2223906386,-0.2591851732,-0.1352502753,1.419542921
9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0283850043,-0.1217298479,-0.0610869702,-0.1404980359,0.4742129128,-0.0632170388,-0.1786105903,1,0.2101617138,0.1006856381,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.7705748621,-0.9126918511,-0.3321085911,-0.3515713081,-0.5154235036,0.0794746134,-0.3006111502,-0.3418159298,-0.2609230789,0.3092593725,-0.1175650893,-0.2650492466,0.5748967841,-0.0621381942,0.2223906386,0.4693665494,-0.071472884,-0.2587522448
30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0308713559,-0.1864364056,-0.1324676532,-0.1404980359,-0.247745497,-0.0594641772,-0.8575541085,1,-0.5348775163,-0.0931888629,1,-0.2044518859,0,-0.2572658087,-0.1856261788,0.4726577827,1.1365470779,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1424142633,0,-0.324428611,-0.1480057536,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0111192358,-0.2116877452,-0.1390958594,-0.1404980359,-0.6087247018,-0.0632170388,-0.5180823494,0,0,-0.1387140493,1,-0.2044518859,0,-0.2572658087,-0.4778335787,-0.7018879757,-0.6552497746,-0.3321085911,-0.3515713081,-0.5154235036,0.0794746134,-0.2125893098,-0.2697063791,-0.0781132405,-0.3134528488,-0.1723029175,0.1567217313,-0.3195931345,-0.1725177892,-0.2808881387,-0.324428611,-0.1735167101,-0.2587522448
